minionsKilled,role,overallPositionChange,assists,deaths,key,overallPosition,title,totalDamageDealtToChampions,winPercent,kills,neutralMinionsKilledTeamJungle,experience,banRate,largestKillingSpree,goldEarned,totalDamageTaken,playPercent,neutralMinionsKilledEnemyJungle,totalHeal
68.2,Jungle,3,12.13,5.78,Sion,39,Sion,18644,51.91,5.41,55.38,86.6,0.07,2.46,12275,39202,0.38,6.5,20461
65.3,Jungle,-16,8.75,5.04,Chogath,41,Cho'Gath,17437,46.72,6.4,66.59,51.54,0.45,3.41,12606,37601,0.43,9.3,11486
68.5,Jungle,-2,10.22,6.07,Rumble,26,Rumble,23447,50.65,7.27,70.44,77.2,0.18,3.51,13144,28791,0.95,10.27,6187
55.3,Jungle,-6,7.77,6.19,Nocturne,28,Nocturne,18229,49.38,8.17,72.56,64.15,0.23,3.73,13072,31795,3.58,9.68,9283
39.5,Jungle,4,10.65,5.2,TahmKench,42,Tahm Kench,15889,48.18,5.47,57.58,39.53,0.99,2.79,11655,42392,0.7,8.47,12738
78.7,Jungle,4,6.41,6.19,Tryndamere,40,Tryndamere,16853,48.74,6.59,68.93,163.31,0.51,2.92,13285,38565,0.53,13.52,13556
46.8,Jungle,1,10.08,5.91,FiddleSticks,8,Fiddlesticks,20336,53.25,6.67,71.29,156.04,0.55,3.22,12511,30726,3.48,8.26,16833
45.3,Jungle,-4,7.59,6.88,XinZhao,27,Xin Zhao,18552,51.92,7.36,61.41,78.87,0.28,3.1,12429,34468,3.63,10.47,12892
47.7,Jungle,-1,12.09,4.78,Sejuani,16,Sejuani,15984,52.71,5.05,65.2,59.03,0.3,2.64,11991,37794,4.21,8.19,7882
75.6,Jungle,2,7.88,6.07,Kayle,25,Kayle,19270,51.63,7.08,72.28,75.58,1.13,3.17,13162,29052,0.79,9.56,11245
43.7,Jungle,-1,9.85,5.19,Volibear,7,Volibear,16436,52.28,6.75,58.89,86.79,1.66,3.44,12110,40138,3.66,8.91,7278
51.7,Jungle,0,8.3,6.52,Pantheon,50,Pantheon,17959,49.62,7.95,52.81,93.65,1.12,3.53,12210,26863,1.04,6.36,5678
47.2,Jungle,-3,12.79,5.94,JarvanIV,24,Jarvan IV,16408,52.54,6.43,62,41.57,0.24,3.04,12296,31059,3.46,8.44,6745
59.8,Jungle,3,8.02,6.46,Diana,23,Diana,20850,49.4,8.1,72.63,90.73,1.92,3.67,13167,24139,2.06,10.3,4476
70.6,Jungle,4,6.82,7.34,KogMaw,14,Kog'Maw,27035,52.99,9.69,77.95,37.58,1.53,3.83,14075,24076,1.55,8.74,4920
40.2,Jungle,1,8.84,6.1,Elise,36,Elise,18255,48.98,7.02,61.78,56.45,0.49,3.22,12156,26964,5.74,9.77,7583
