deaths,experience,winPercent,playPercent,overallPosition,totalDamageDealtToChampions,kills,minionsKilled,neutralMinionsKilledTeamJungle,totalDamageTaken,largestKillingSpree,totalHeal,banRate,role,neutralMinionsKilledEnemyJungle,assists,key,title,overallPositionChange,goldEarned
4.66,20.87,50.41,14.35,17,15686,4.78,43.5,64.62,31705,2.53,11433,0,Jungle,9.86,10.32,Gragas,Gragas,-9,11583
6.06,39.65,48.98,0.09,48,21312,6.13,166.5,5.82,19242,2.79,1794,0,Middle,1.54,6.87,Urgot,Urgot,-2,11749
5.5,21.4,51.43,0.62,32,22426,5.5,186.9,6.26,25072,2.73,7048,0,Middle,1.73,9.94,Galio,Galio,5,12222
6.91,45.85,49.09,0.84,16,29229,7.22,192.8,13.25,22298,2.85,2209,0,Middle,2.23,8.86,Karthus,Karthus,5,13124
6.61,75.52,50.59,0.11,45,19920,6.05,161.8,9.4,16504,2.85,8256,0,Middle,3.86,6.12,Mordekaiser,Mordekaiser,3,11650
6.4,43.66,46.02,1.08,46,22098,6.55,174.6,9.42,20573,2.95,4385,0,Middle,2.21,6.2,Cassiopeia,Cassiopeia,-2,12170
5.96,33.42,46.19,1.47,37,20812,6.96,185.2,8.47,17269,3.31,1692,0,Middle,2.04,6.94,Veigar,Veigar,-10,12564
6.24,84.56,48.91,1.13,29,23781,6.9,143.6,7,29073,3.23,11179,0,Middle,1.63,7.37,Swain,Swain,11,11626
6.49,35.93,46.64,0.6,47,22370,6.36,171.1,8.51,23331,2.96,1436,0,Middle,2.43,6.83,Ryze,Ryze,0,12022
5.61,111.9,50.23,0.72,24,24408,4.51,186.1,4.46,18351,2.12,1313,0,Middle,1.41,7.05,Heimerdinger,Heimerdinger,14,11990
5.8,59.79,48.13,0.66,19,23709,7.33,181.4,9.19,19920,3.51,1699,0,Middle,2.62,6.92,Jayce,Jayce,10,12539
5.3,19.51,48.3,2.06,20,27388,5.95,204.4,10.07,16367,2.98,1770,0,Middle,2.29,7.96,Ziggs,Ziggs,-8,12882
5.77,21.19,48.48,0.59,28,25400,6.54,192.7,8.65,17379,3.23,1949,0,Middle,2.36,7.57,Varus,Varus,7,12603
5.16,53.96,48.78,1.82,9,26322,6.61,181.8,6.92,15733,3.45,1809,0,Middle,1.55,8.22,Xerath,Xerath,6,12509
5.71,23.08,47.06,2.45,40,20653,7.77,159,6.23,23683,3.82,2247,0,Middle,1.58,6.39,Kassadin,Kassadin,-6,11960
6.18,27.81,45.68,2.8,33,22576,7.13,191.5,8.37,17298,3.27,1605,0,Middle,1.98,6.45,Syndra,Syndra,-13,12608
6.11,59.19,46.85,2.46,25,23903,6.02,189.6,9.82,19667,2.85,2117,0,Middle,2.08,7.01,Azir,Azir,6,12410
6.31,84.57,49.58,0.43,31,27525,6.38,172.1,10.02,17633,2.82,1764,0,Middle,2.3,8.44,Zyra,Zyra,2,12656
5.28,66.62,52.98,1.79,1,27835,6.81,185.3,6.46,16789,3.51,1915,0,Middle,1.78,8.38,Velkoz,Vel'Koz,7,12717
5.83,81.03,50.23,1.07,30,21920,6.34,162.8,3.12,18891,3.05,2000,0,Middle,1.16,7.41,Kennen,Kennen,12,11746
4.33,27.49,51.45,1.53,35,19519,4.24,180.6,6.78,20499,2.31,5087,0,Middle,1.79,9.69,Zilean,Zilean,-3,11766
5.51,63.54,52.14,3.75,8,23458,6.05,184.2,8.02,19114,2.97,1756,0,Middle,2.33,7.17,Malzahar,Malzahar,2,12425
6.38,52.23,46.61,1.05,44,22979,5.68,182.7,7.38,29754,2.57,20377,0,Middle,2.88,6.69,Vladimir,Vladimir,1,11961
