title,totalDamageTaken,minionsKilled,overallPositionChange,assists,banRate,winPercent,neutralMinionsKilledTeamJungle,role,experience,totalDamageDealtToChampions,neutralMinionsKilledEnemyJungle,goldEarned,kills,deaths,largestKillingSpree,playPercent,key,overallPosition,totalHeal
Zilean,22283,186.3,-2,10.46,0.25,54.97,8.33,Middle,48.21,20530,1.95,11990,4.61,4.12,2.61,1.41,Zilean,32,7458
Taliyah,24021,183,25,9.56,1.3,48.97,7.94,Middle,5.04,28213,2.07,12907,7.41,7.11,3.29,2.59,Taliyah,22,3486
Anivia,25913,182.5,-2,7.75,0.71,54.41,11.62,Middle,90.23,24601,3.05,12925,7.34,4.62,4.11,3.99,Anivia,3,10730
Kayle,24451,191.4,-5,7.32,0.6,50.94,14.25,Middle,78.59,19691,3.75,12689,6.33,6.02,3.01,1.53,Kayle,40,8694
Orianna,17722,191.6,6,9.52,0.06,48.92,11.99,Middle,39.15,21687,2.44,12659,6.16,5.58,3.08,4.91,Orianna,33,2964
Ryze,24680,177.7,-18,6.86,15.53,45.33,10.2,Middle,35.38,21552,2.72,11979,5.92,6.19,2.83,2.13,Ryze,47,3863
Diana,21436,163.2,-1,6.84,2.39,48.61,12.54,Middle,87.32,22794,3.46,12727,8.25,6.95,3.65,2.93,Diana,37,1942
Veigar,18733,190.7,-4,7.01,1.34,49.78,10.36,Middle,28.48,24615,2.44,13198,8.41,6.37,3.76,4.73,Veigar,8,2151
Vel'Koz,18161,185.7,5,8.61,0.83,53.48,7.4,Middle,56.84,29680,1.9,13079,7.89,5.83,3.83,3.6,Velkoz,1,2315
Lissandra,23061,193.2,6,9.13,0.43,50.44,7.77,Middle,42.03,21623,1.93,12513,6.06,5.93,2.89,4.17,Lissandra,28,4488
Katarina,19771,172.5,-1,7.11,0.8,50.39,3.66,Middle,98.73,24204,1.38,12848,9.81,6.8,4.38,5.5,Katarina,13,2071
